Seed,OffsetX,OffsetY,Height,Meadows,BlackForest,Swamp,Plains,Mistlands
atlas009,-5843,-7354,4971,4971,-152,-5843,-7354,-4071
cFft1rqflw,2824,-4564,8647,8647,9230,2824,-4564,7730
hGVhTSLrou,-8895,8575,6230,6230,-8428,-8895,8575,2699
atlas066,9216,535,8447,8447,7683,9216,535,-5722
a9xfQOrOzY,-5835,-8978,-5074,-5074,-2292,-5835,-8978,-6312
CRwXhRmghX,-2825,-7513,-7339,-7339,5128,-2825,-7513,9454
cILoTwjDy7,5057,-9668,531,531,-3478,5057,-9668,-8697
2rSGjB864Z,-481,1693,8608,8608,-8397,-481,1693,8703
BJEOea3ymv,-4772,9083,-5820,-5820,-1775,-4772,9083,661
atlas129,6583,5259,-8228,-8228,-6319,6583,5259,-545
hnY0bIrKbM,-2183,2853,1247,1247,3776,-2183,2853,1867
psI0qRodVf,-1798,-7838,4461,4461,-5534,-1798,-7838,6411
atlas120,4444,5451,4666,4666,3870,4444,5451,-8528
gW9n7hZIbK,667,-4012,1247,1247,-5466,667,-4012,4722
AZfL3zzvWL,-4612,-9961,-586,-586,-6355,-4612,-9961,-9723
Sg1n8G2vIj,3876,-1928,-3692,-3692,7696,3876,-1928,-3621
WcUsVZVgXK,-9228,7476,7571,7571,-5701,-9228,7476,-1210
eCR5Lsw3Kl,-2938,2855,-3404,-3404,-4385,-2938,2855,721
WKdl2wE8i4,-7358,-4948,-5318,-5318,-935,-7358,-4948,-5352
anhArNf9gp,-3423,7281,-7369,-7369,3586,-3423,7281,8476
X0cci7uRz3,1936,-9875,2985,2985,376,1936,-9875,169
xdvdeyqJFx,772,-4831,6077,6077,-1600,772,-4831,-939
atlas143,-1117,-6415,-8403,-8403,-4291,-1117,-6415,-3167
trdHhz8Fxs,-3358,-7149,5457,5457,-4903,-3358,-7149,4415
A5PfVmnPAv,-5442,9448,-298,-298,-3399,-5442,9448,-6345
UQFhP6bmij,-2488,-394,-6648,-6648,5558,-2488,-394,6838
YLClfXLfJP,-560,-3219,-1733,-1733,-5608,-560,-3219,-9069
croan022,4959,4593,-6770,-6770,-2164,4959,4593,2503
i5hOnOA82L,2173,7010,-6139,-6139,-510,2173,7010,-1900
atlas144,4595,-8587,6031,6031,-3325,4595,-8587,-8432
JBvuX1pxCk,1301,-1219,6956,6956,-4802,1301,-1219,3767
lPX7Eq2s5j,6503,-9603,1932,1932,2764,6503,-9603,3034
atlas149,4607,-7871,-7533,-7533,-1894,4607,-7871,-9912
atlas041,-1304,1304,-8544,-8544,-8594,-1304,1304,-9919
atlas050,3419,5726,-4859,-4859,-3125,3419,5726,6602
DdzZMbvPGt,-4352,-2144,-1645,-1645,6565,-4352,-2144,5878
atlas022,6912,-4961,2989,2989,-4125,6912,-4961,7502
P3zye6u5t6,-5674,1239,8187,8187,7690,-5674,1239,-4264
J506MZVhgs,-1929,-7222,-1984,-1984,-545,-1929,-7222,-6047
atlas023,682,-8750,-7682,-7682,7569,682,-8750,8480
atlas117,-3750,1495,-9724,-9724,-1678,-3750,1495,-6136
FQcjaANWC2,-3317,-712,6245,6245,-5288,-3317,-712,-2475
1QpwLtRxW0,6273,4965,9454,9454,-3564,6273,4965,986
atlas095,-1833,-2675,4610,4610,2656,-1833,-2675,-8918
c8AOIvrxiz,3985,1627,5955,5955,-5771,3985,1627,-2730
kfmnknB5nC,-5584,4835,7195,7195,4815,-5584,4835,6139
atlas145,-3256,7192,3888,3888,-1046,-3256,7192,175
E313WIvLyM,-1272,-9032,-9952,-9952,-958,-1272,-9032,3833
atlas073,-796,-6611,-7330,-7330,8903,-796,-6611,4674
26aIYeTtbY,1349,-9316,9613,9613,-3211,1349,-9316,9449
9K3AtaHstZ,-8002,-4377,327,327,-7596,-8002,-4377,-8193
82G6OPt9pB,-4048,-8798,3472,3472,-5884,-4048,-8798,6080
atlas088,5239,-8607,-4151,-4151,4542,5239,-8607,9045
ol8js0xGH7,-7781,6511,8823,8823,-2555,-7781,6511,-7111
atlas085,-1164,4449,929,929,-8760,-1164,4449,4104
SvI15una3m,628,-961,-7425,-7425,275,628,-961,1936
PsO3Tk2l45,-7136,-4,-5142,-5142,2634,-7136,-4,7035
atlas045,-353,-1300,-278,-278,-7136,-353,-1300,92
f5raVkIyHM,-3880,-3707,5625,5625,8764,-3880,-3707,-2149
atlas121,-1382,5203,-3400,-3400,2564,-1382,5203,-7048
atlas077,8117,-2924,798,798,-5549,8117,-2924,-5471
A4k1io4R92,2577,3303,-286,-286,7827,2577,3303,3413
fZzWkyk5YC,7339,1979,-509,-509,5581,7339,1979,7346
igyAPoxhoa,-8455,8160,-212,-212,-940,-8455,8160,5028
B9DOWY9mLC,4691,-4189,6500,6500,-8217,4691,-4189,-5636
PKuHhAjhM8,3717,-2880,93,93,7555,3717,-2880,4247
V579ILzdms,-7690,4016,-9415,-9415,-6542,-7690,4016,-1250
93DLaL6NWi,337,3017,-6958,-6958,1036,337,3017,4827
